Class Number, Campus, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
16812,Medical Campus,NUR 2520L - 0024   Psychiatric Nursing Clinical Lab,0024-CLN Conversion,Staff,8,0,8,0,0
16836,Medical Campus,NUR 2520L - 0025   Psychiatric Nursing Clinical Lab,0025-CLN Conversion,Staff,6,0,6,0,0
16808,Medical Campus,NUR 2520L - 0030   Psychiatric Nursing Clinical Lab,0030-CLN Conversion,Staff,6,0,6,0,0
16825,Medical Campus,NUR 2520L - 0031   Psychiatric Nursing Clinical Lab,0031-CLN Conversion,Staff,8,0,8,0,0
16829,Homestead Campus,NUR 2520L - 0038   Psychiatric Nursing Clinical Lab,0038-CLN Conversion,Staff,8,0,8,0,0
5392,Wolfson Campus,AVM 2515 - 0001   Airline Marketing,0001-LEC Main Sess,Staff,30,26,4,0,0
6635,North Campus,ANT 2511 - 0001   Introduction To Physical Anthropology,0001-LEC Main Sess,Staff,40,15,25,0,0
6634,Wolfson Campus,ANT 2511 - 0002   Introduction To Physical Anthropology,0002-LEC Main Sess,Staff,30,17,13,0,0
9668,Kendall Campus,SPC 2511 - 0001   Argumentation And Debate,0001-LEC Main Sess,Staff,8,0,8,0,0
9670,Wolfson Campus,SPC 2511 - 0002   Argumentation And Debate,0002-LEC Main Sess,Staff,30,0,30,0,0
9669,InterAmerican Campus,SPC 2511 - 0003   Argumentation And Debate,0003-LEC Main Sess,Staff,29,0,29,0,0
5982,North Campus,ASL 2510 - 0001   Deaf Culture And Community,0001-LEC 1st Mon Sp,Staff,20,14,6,0,0
5856,Homestead Campus,AVM 2510 - 0001   Airline Management,0001-LEC Main Sess,Staff,30,17,13,0,0
5855,Homestead Campus,AVM 2510 - 0002   Airline Management,0002-LEC Main Sess,Staff,30,0,30,0,0
11332,North Campus,FFP 2510 - 0001   Fire And Building Codes,0001-LEC Conversion,Staff,24,19,5,0,0
9611,Medical Campus,OPT 2505 - 0001   Contact Lenses 1,0001-LEC Main Sess,Staff,36,30,6,0,0
12447,Medical Campus,RET 2503 - 0001   Respiratory Care Pathophysiology 2,0001-LEC Main Sess,Staff,45,31,14,0,0
12121,Kendall Campus,ENT 2502 - 0001   Starting And Growing A Social Venture,0001-LEC Main Sess,Staff,25,0,25,0,0
5852,Homestead Campus,ATF 2501 - 0001   Flight Instructor-Flight Training,0001-LEC Conversion,Staff,30,1,29,0,0
5851,Homestead Campus,ATF 2501 - 0002   Flight Instructor-Flight Training,0002-LEC Conversion,Staff,30,0,30,0,0
6383,Wolfson Campus,HFT 2500 - 0001   Marketing Of Hospitality Services,0001-LEC Main Sess,Staff,40,19,21,0,0
6385,Wolfson Campus,HFT 2500 - 0002   Marketing Of Hospitality Services,0002-LEC Twelve Wk,Staff,30,0,30,0,0
6384,Wolfson Campus,HFT 2500 - 0003   Marketing Of Hospitality Services,0003-LEC Main Sess,Staff,34,10,24,0,0
12228,Medical Campus,HIM 2500 - 0001   Data Management & Quality Assessment,0001-LEC Conversion,Staff,5,0,5,0,0
6403,Wolfson Campus,HUS 2500 - 0001   Issues & Ethics In Human Services,0001-LEC Main Sess,Staff,40,0,40,0,0
10425,Medical Campus,HIM 2500L - 0001   Data Management & Quality Assessment Laboratory,0001-LAB Conversion,Staff,5,0,5,0,0
11725,North Campus,LIT 2480 - 0001   Issues In Literature & Culture,0001-LEC Main Sess,Staff,3,0,3,0,0
11726,North Campus,LIT 2480 - 0002   Issues In Literature & Culture,0002-LEC Main Sess,Staff,9,0,9,0,0
11727,North Campus,LIT 2480 - 0003   Issues In Literature & Culture,0003-LEC Main Sess,Staff,28,11,17,0,0
11728,North Campus,LIT 2480 - 0004   Issues In Literature & Culture,0004-LEC Main Sess,Staff,28,15,13,0,0
11729,North Campus,LIT 2480 - 0005   Issues In Literature & Culture,0005-LEC Main Sess,Staff,28,14,14,0,0
11730,Kendall Campus,LIT 2480 - 0006   Issues In Literature & Culture,0006-LEC Main Sess,Staff,25,20,5,0,0
11737,Kendall Campus,LIT 2480 - 0007   Issues In Literature & Culture,0007-LEC Main Sess,Staff,6,0,6,0,0
11732,Kendall Campus,LIT 2480 - 0008   Issues In Literature & Culture,0008-LEC Main Sess,Staff,25,23,2,0,0
11734,Wolfson Campus,LIT 2480 - 0010   Issues In Literature & Culture,0010-LEC Main Sess,Staff,28,26,2,0,0
11735,Wolfson Campus,LIT 2480 - 0011   Issues In Literature & Culture,0011-LEC Main Sess,Staff,30,26,4,0,0
11736,InterAmerican Campus,LIT 2480 - 0012   Issues In Literature & Culture,0012-LEC Main Sess,Staff,25,0,25,0,0
11731,Hialeah Campus,LIT 2480 - 0013   Issues In Literature & Culture,0013-LEC Main Sess,Staff,25,0,25,0,0
9644,Kendall Campus,PGY 2475 - 0001   Advanced Photography,0001-LEC Main Sess,Staff,5,4,1,0,0
9645,Wolfson Campus,PGY 2475 - 0003   Advanced Photography,0003-LEC Main Sess,Staff,10,5,5,0,0
16758,Wolfson Campus,MUN 2473 - 0001   Early Music Consortium,0001-LEC Main Sess,Staff,30,0,30,0,0
6400,Kendall Campus,HIM 2472 - 0001   Medical Terminology,0001-LEC 1st Mon Sp,Staff,30,28,2,0,0
6391,Wolfson Campus,HIM 2472 - 0003   Medical Terminology,0003-LEC Main Sess,Staff,30,26,4,0,0
6394,Medical Campus,HIM 2472 - 0004   Medical Terminology,0004-LEC Conversion,Staff,30,16,14,0,0
6396,Medical Campus,HIM 2472 - 0006   Medical Terminology,0006-LEC Conversion,Staff,30,25,5,0,0
6397,Medical Campus,HIM 2472 - 0007   Medical Terminology,0007-LEC Conversion,Staff,10,0,10,0,0
6398,Medical Campus,HIM 2472 - 0008   Medical Terminology,0008-LEC Conversion,Staff,30,26,4,0,0
6395,Medical Campus,HIM 2472 - 0009   Medical Terminology,0009-LEC Conversion,Staff,10,0,10,0,0
6399,Medical Campus,HIM 2472 - 0010   Medical Terminology,0010-LEC Conversion,Staff,30,27,3,0,0
5969,Homestead Campus,ASC 2470 - 0001   Physiology/Psychology Of Flight,0001-LEC Main Sess,Staff,30,17,13,0,0
10761,North Campus,CTS 2463 - 0001   C# Web Application Development,0001-LEC Main Sess,Staff,30,0,30,0,0
10763,Kendall Campus,CTS 2463 - 0002   C# Web Application Development,0002-LEC Main Sess,Staff,22,21,1,0,0
10762,Wolfson Campus,CTS 2463 - 0003   C# Web Application Development,0003-LEC Main Sess,Staff,30,0,30,0,0
