Class Number, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total11994,BSC 7982 - U01   Dissertation Defense Seminar,U01-G Regular,Jennifer Richards,10,4,6,0,0
33260,CHM 7910 - U16   Dissertation Research,U16-R Regular,Ramon Lopez De La Vega,5,0,5,0,0
13153,CHM 7910 - U17   Dissertation Research,U17-R Regular,Alexander Mebel,10,0,10,0,0
13336,CHM 7910 - U18   Dissertation Research,U18-R Regular,Bruce Mc Cord,10,5,5,0,0
13154,CHM 7910 - U19   Dissertation Research,U19-R Regular,Jaroslava Miksovska,10,0,10,0,0
33261,CHM 7910 - U20   Dissertation Research,U20-R Regular,Joongho Moon,5,1,4,0,0
13337,CHM 7910 - U21   Dissertation Research,U21-R Regular,Kevin O'Shea,10,1,9,0,0
13306,CHM 7910 - U23   Dissertation Research,U23-R Regular,Kathleen Rein,10,1,9,0,0
13307,CHM 7910 - U24   Dissertation Research,U24-R Regular,Xiaotang Wang,10,1,9,0,0
13318,CHM 7910 - U26   Dissertation Research,U26-R Regular,Stanislaw Wnuk,10,2,8,0,0
13366,CHM 7910 - U27   Dissertation Research,U27-R Regular,Yi Xiao,10,2,8,0,0
13402,CHM 7910 - U28   Dissertation Research,U28-R Regular,Francisco Fernandez Lima,10,1,9,0,0
13405,CHM 7910 - U29   Dissertation Research,U29-R Regular,Yukching Tse Dinh,5,1,4,0,0
13439,CHM 7910 - U31   Dissertation Research,U31-R Regular,Raphael Raptis,10,2,8,0,0
15818,CIS 7910 - U01   Graduate Research,U01-R Regular,Mark Finlayson,10,3,7,0,0
15819,CIS 7910 - U02   Graduate Research,U02-R Regular,Naphtali Rishe,10,2,8,0,0
31920,CIS 7910 - U03   Graduate Research,U03-R Regular,Christine Lisetti,10,2,8,0,0
31921,CIS 7910 - U04   Graduate Research,U04-R Regular,Jason Liu,10,2,8,0,0
15993,CIS 7910 - U05   Graduate Research,U05-R Regular,Seyedmasoud Sadjadi,10,1,9,0,0
31922,CIS 7910 - U06   Graduate Research,U06-R Regular,Geoffrey Smith,10,0,10,0,0
15994,CIS 7910 - U07   Graduate Research,U07-R Regular,Tao Li,10,5,5,0,0
